23:30:48.984, Date: 2/4/24, Fix: 1,  quality: 2, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.01, Angle: 49.98, Altitude: 1483.10, Satellites: 9
23:30:51.0, Date: 2/4/24, Fix: 1,  quality: 2, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.00, Angle: 61.78, Altitude: 1483.10, Satellites: 9
23:30:52.984, Date: 2/4/24, Fix: 1,  quality: 2, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.01, Angle: 238.98, Altitude: 1483.10, Satellites: 9
23:30:55.0, Date: 2/4/24, Fix: 1,  quality: 2, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.01, Angle: 257.25, Altitude: 1483.10, Satellites: 9
23:30:58.0, Date: 2/4/24, Fix: 1,  quality: 2, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.00, Angle: 186.57, Altitude: 1483.10, Satellites: 9
23:31:0.0, Date: 2/4/24, Fix: 1,  quality: 2, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.01, Angle: 236.78, Altitude: 1483.20, Satellites: 9
23:31:2.0, Date: 2/4/24, Fix: 1,  quality: 2, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.01, Angle: 324.29, Altitude: 1483.20, Satellites: 9
23:31:4.984, Date: 2/4/24, Fix: 1,  quality: 2, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.00, Angle: 295.76, Altitude: 1483.20, Satellites: 9
23:31:7.0, Date: 2/4/24, Fix: 1,  quality: 2, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.01, Angle: 307.45, Altitude: 1483.20, Satellites: 9
23:31:8.984, Date: 2/4/24, Fix: 1,  quality: 2, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.01, Angle: 324.87, Altitude: 1483.20, Satellites: 9
23:31:11.0, Date: 2/4/24, Fix: 1,  quality: 2, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.01, Angle: 349.23, Altitude: 1483.20, Satellites: 9
23:31:12.984, Date: 2/4/24, Fix: 1,  quality: 2, Location: 43.7862N, 111.9936, W, Speed (knots): , 0.02, Angle: 254.43, Altitude: 1483.20, Satellites: 9
