Real time,Event,Pulses,Count rate,Duration of d.a.,Duration of meas.,Dose rate,DR Error,Dose,Dose rate alarm,Dose alarm,Temp alarm,Temp.,Charge,Comment
2024.04.02  16.21.41,Current data values,1029,643 cpm,,0:01:36,18 µR/h,19.30%,,None,None,None,,,
2024.04.02  16.21.19,Current device parameters,,,9 d., 6:30:31,,,,2.04 mR,None,None,None,23.5°C,100%
2024.04.02  16.20.05,Current data values,1019,637 cpm,,0:01:36,17 µR/h,19.30%,,None,None,None,,,
2024.04.02  16.19.19,Current device parameters,,,9 d., 6:28:31,,,,2.04 mR,None,None,None,23.6°C,100%
2024.04.02  16.18.29,Current data values,974,609 cpm,,0:01:36,12.6 µR/h,19.90%,,None,None,None,,,
2024.04.02  16.17.19,Current device parameters,,,9 d., 6:26:31,,,,2.04 mR,None,None,None,23.7°C,100%
2024.04.02  16.16.53,Current data values,982,614 cpm,,0:01:36,12.4 µR/h,17.80%,,None,None,None,,,
2024.04.02  16.15.19,Current device parameters,,,9 d., 6:24:31,,,,2.04 mR,None,None,None,23.8°C,100%
2024.04.02  16.15.17,Current data values,1007,629 cpm,,0:01:36,17 µR/h,18.70%,,None,None,None,,,
2024.04.02  16.13.41,Current data values,1017,636 cpm,,0:01:36,16.9 µR/h,18.90%,,None,None,None,,,
2024.04.02  16.13.19,Current device parameters,,,9 d., 6:22:31,,,,2.04 mR,None,None,None,24°C,100%
2024.04.02  16.12.05,Current data values,1012,632 cpm,,0:01:36,15.5 µR/h,19.50%,,None,None,None,,,
2024.04.02  16.11.19,Current device parameters,,,9 d., 6:20:31,,,,2.04 mR,None,None,None,24.1°C,100%
2024.04.02  16.10.29,Current data values,952,595 cpm,,0:01:36,14.1 µR/h,19.80%,,None,None,None,,,
2024.04.02  16.09.19,Current device parameters,,,9 d., 6:18:31,,,,2.04 mR,None,None,None,24.3°C,100%
2024.04.02  16.08.53,Current data values,1003,627 cpm,,0:01:36,17.3 µR/h,19.90%,,None,None,None,,,
2024.04.02  16.07.17,Current data values,997,623 cpm,,0:01:36,14.7 µR/h,19%,,None,None,None,,,
2024.04.02  16.05.41,Current data values,941,588 cpm,,0:01:36,13.9 µR/h,20%,,None,None,None,,,
2024.04.02  16.04.05,Current data values,927,579 cpm,,0:01:36,14.2 µR/h,20.30%,,None,None,None,,,
2024.04.02  16.02.29,Current data values,958,599 cpm,,0:01:36,15 µR/h,18.70%,,None,None,None,,,
2024.04.02  16.02.19,Current device parameters,,,9 d., 6:11:31,,,,2.04 mR,None,None,None,24.4°C,100%
2024.04.02  16.00.53,Current data values,1043,652 cpm,,0:01:36,13.6 µR/h,20.50%,,None,None,None,,,
2024.04.02  16.00.19,Current device parameters,,,9 d., 6:09:31,,,,2.04 mR,None,None,None,24.3°C,100%
2024.04.02  15.59.17,Current data values,1054,659 cpm,,0:01:36,15 µR/h,20.20%,,None,None,None,,,
2024.04.02  15.58.19,Current device parameters,,,9 d., 6:07:31,,,,2.04 mR,None,None,None,24.2°C,100%
2024.04.02  15.57.41,Current data values,1031,644 cpm,,0:01:36,17.7 µR/h,20.40%,,None,None,None,,,
2024.04.02  15.57.19,Current device parameters,,,9 d., 6:06:31,,,,2.04 mR,None,None,None,24.1°C,100%
2024.04.02  15.56.05,Current data values,1151,719 cpm,,0:01:36,14.8 µR/h,18.90%,,None,None,None,,,
2024.04.02  15.55.19,Current device parameters,,,9 d., 6:04:31,,,,2.04 mR,None,None,None,23.9°C,100%
2024.04.02  15.55.17,Device power on,,,,,,,,None,None,None,,,
2024.04.02  15.55.17,Current data values,1086,679 cpm,,0:01:36,14.6 µR/h,18.90%,,None,None,None,,,
2024.04.02  15.55.14,Battery charge end,,,,,,,,None,None,None,,,
2024.04.02  15.34.50,Battery charge begin,,,,,,,,None,None,None,,,
